,followers,genres,id,images,name,popularity
0,5919221,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music']",0c173mlxpT3dSFRgMO8XPh,https://i.scdn.co/image/7af4c101861c482e6fdd9f33f73d037f136afe36,Big Sean,85
1,3263557,"['chicago rap', 'dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",3KV3p5EY4AvKxOlhGHORLg,https://i.scdn.co/image/48e38236955edc0ac5dbe291992dbf82a90e6d6d,Jeremih,82
2,7964861,"['conscious hip hop', 'nc hip hop', 'pop rap', 'rap']",6l3HvQ5sa6mXTsMTB19rO5,https://i.scdn.co/image/1e9eeefb2c94579150fc37916e8319b975ec8a52,J. Cole,91
3,1938009,"['dance pop', 'gangster rap', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",67nwj3Y5sZQLl72VNUHEYE,https://i.scdn.co/image/ad19fc7b636c3e986b22947ec44dcc1c605aec70,Wale,76
4,4351052,"['atl hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",17lzZA2AlOHwCwFALHttmp,https://i.scdn.co/image/8a0f9090548262a85cceef38650642d3037fd1e0,2 Chainz,87
5,3725643,"['dance pop', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",0QHgL1lAIqAw0HtD7YldmP,https://i.scdn.co/image/dd7834e289baa171bd16ccd7ef4eeb3b3ebabc71,DJ Khaled,80
6,2602041,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",6vXTefBL93Dj5IqAWq6OTv,https://i.scdn.co/image/dff7f6882667ab9a7b9a8772831ca060e9fc75c8,French Montana,85
7,1802165,"['hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'trap music', 'urban contemporary']",2HPaUgqeutzr3jx5a9WyDV,https://i.scdn.co/image/0adc1fd8ec4edd60a110b53ce3e1d2f264ac32a0,PARTYNEXTDOOR,77
8,2234287,"['canadian hip hop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music']",2jku7tDXc6XoB6MO2hFuqg,https://i.scdn.co/image/319b5b30148cb0614be70f115b272afc18ea69c7,Tory Lanez,86
9,4692982,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",5LHRHt1k9lMyONurDHEdrp,https://i.scdn.co/image/01f30cfdd39a885fa8e630670b535ab32c8b18eb,Tyga,88
10,3027680,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",1sBkRIssrMs1AbVkOJbc7a,https://i.scdn.co/image/2a3924bf569d31979ac5dcd999503d51614a1ff9,Rick Ross,80
11,3312480,"['hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'trap music']",2EMAnMvWE2eb56ToJVfCWs,https://i.scdn.co/image/17cb13828da84ff2e33f86b6984dab07b7ae66b6,Bryson Tiller,81
12,3065561,"['hip hop', 'philly rap', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",20sxb77xiYeusSH8cVdatc,https://i.scdn.co/image/b217f364eae67b267b38bf46887f74437ebac006,Meek Mill,87
13,2555008,"['hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'trap music']",7c0XG5cIJTrrAgEC3ULPiq,https://i.scdn.co/image/6d0222ada3a614c277aaff64fb1d7eb84a34644b,Ty Dolla $ign,90
14,2192008,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap', 'urban contemporary']",360IAlyVv4PCEVjgyMZrxK,https://i.scdn.co/image/69d5702fb1057788fc79b4d0432cb245d3d2a871,Miguel,82
15,1491814,"['alternative r&b', 'atl hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'trap music']",4IVAbR2w4JJNJDDRFP3E83,https://i.scdn.co/image/b7b33aaeac1367b35d9c74a53fc9cfbd38f79fee,6LACK,84
16,2206681,"['alternative r&b', 'dance pop', 'deep pop r&b', 'hip pop', 'pop', 'pop rap', 'r&b', 'rap', 'urban contemporary']",5ZS223C6JyBfXasXxrRqOk,https://i.scdn.co/image/ec0acd56a9eaa79b3dfd7188fe8f952511600048,Jhene Aiko,79
17,7630364,"['hip hop', 'new orleans rap', 'pop', 'pop rap', 'rap', 'trap music']",55Aa2cqylxrFIXC767Z865,https://i.scdn.co/image/3254e6574f08a55daaedceebd67f2721fffb57fe,Lil Wayne,92
18,4064963,"['dance pop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap music', 'urban contemporary']",2iojnBLj0qIMiKPvVhLnsH,https://i.scdn.co/image/364d6dfc4b762b452702539e28e0021558c7a7b6,Trey Songz,80
19,2369049,"['gangster rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']",5IcR3N7QB1j6KBL8eImZ8m,https://i.scdn.co/image/a6f9c42a04a5473fcd1bdedda9ad1078d334bbac,ScHoolboy Q,81
