,followers,genres,id,images,name,popularity
0,934979,"['detroit hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",5Qi4Bb7a8C0a00NZcA77L0,https://i.scdn.co/image/462121abcc7994f6c677e4c7900a791a17feafee,D12,68
1,1918700,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0NbfKEOTQCcwd6o7wSDOHI,https://i.scdn.co/image/7e370d02207a01caef5ad536a6702037b7e7a9f3,The Game,76
2,739999,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",77IURH5NC56Jn09QHi76is,https://i.scdn.co/image/570d46c60960d93990710d83a5f8012217eb7aec,Bad Meets Evil,64
3,1154755,"['conscious hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",7EWU4FhUJM1sZQgQKdENeT,https://i.scdn.co/image/f63366e13ad4c40ff2595be8ee0f5e2268d606f5,Hopsin,71
4,971110,"['hip hop', 'pop rap', 'rap', 'southern hip hop']",68DWke2VjdDmA75aJX5C57,https://i.scdn.co/image/ac4dac096c6684852d408d4591a55f2b9f2fced1,Yelawolf,73
5,1350410,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",1HwM5zlC5qNWhJtM00yXzG,https://i.scdn.co/image/a164c44d2c4260d5c17df105601d0e9bb76f2ef2,DMX,74
6,4114869,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",6DPYiyq5kWVQS4RGwxzPC7,https://i.scdn.co/image/83d2489cade1dadcdc533ddbcd74993d0ca6d4cb,Dr. Dre,81
7,5210273,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",3q7HBObVc0L8jNeTe5Gofh,https://i.scdn.co/image/dd031b9c5d1b6eba4a691cd89c954255aae787f2,50 Cent,83
8,1221924,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",6UBA15slIuadJ8h2lPRPos,https://i.scdn.co/image/51f88e794401a338e9df945883c3c6a081451a63,Tech N9ne,74
9,346669,"['detroit hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",2XnnxQzxFZG8qEPjakokPM,https://i.scdn.co/image/13998fd88695a34cec8350675cb3ceffa4573ae3,Obie Trice,63
10,1387062,"['hip hop', 'pop rap', 'rap']",6TIYQ3jFPwQSRmorSezPxX,https://i.scdn.co/image/643d89d8acfded4c23ec37e4a65403a7a7a02b39,Machine Gun Kelly,78
11,2751783,"['conscious hip hop', 'g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'west coast rap']",3Mcii5XWf6E0lrY3Uky4cA,https://i.scdn.co/image/8ed73361f9c205b88c4d092b2f628576e2c719c8,Ice Cube,75
12,2208921,"['conscious hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'rap', 'west coast rap']",4EnEZVjo3w1cwcQYePccay,https://i.scdn.co/image/4f36d3f900eaf8381b0d3f5febe0e5bf8c94dbea,N.W.A.,69
13,646473,"['boston hip hop', 'hip hop', 'pop rap', 'rap']",6C1ohJrd5VydigQtaGy5Wa,https://i.scdn.co/image/994fdbaf1eff70a1263ec509bc857e73450871e1,Joyner Lucas,78
14,2774952,"['atl hip hop', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",4OBJLual30L7gRl5UkeRcT,https://i.scdn.co/image/eae4a88e33baad4b4ce4605aa074c45766e94d09,T.I.,80
15,3697228,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']",5me0Irg2ANcsgc93uaYrpb,https://i.scdn.co/image/1b4858fbd24046a81cace5ee18d19c868262b91f,The Notorious B.I.G.,81
16,4733172,"['bulgarian hip hop', 'east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",3nFkdlSjzX9mRTtwJOzDYB,https://i.scdn.co/image/2e925c2f793f835eb8ec84cd71dffce12e3abc11,JAY Z,83
17,1517864,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop']",5ndkK3dpZLKtBklKjxNQwT,https://i.scdn.co/image/c8f14f414aa88b90e896b6d71aec72ea3687265c,B.o.B,76
18,716637,"['detroit hip hop', 'g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'west coast rap']",4tujQJicOnuZRLiBFdp3Ou,https://i.scdn.co/image/f17bd1b3b6e1b72962ad8b0d60190b5ab725ad7c,Xzibit,68
19,1585977,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",3ipn9JLAPI5GUEo4y4jcoi,https://i.scdn.co/image/adcc1cb654e89f2e404688ae0d1bbc942ce02e5d,Ludacris,78
