,album_type,artists,id,images,name,release_date,total_tracks,type
0,single,Seahawks,6GKLtsT1RISbpYgFnT998Y,https://i.scdn.co/image/c64c7adfb70e01db03b4cfecbefb66907125cce2,Eyes of the Moon,2019-01-23,2,album
1,single,Seahawks,78oEMg3hNpw6RWGZo8peoG,https://i.scdn.co/image/78a87f82dd5f97504dc1acc30de07258ad687860,Emergence,2019-02-13,2,album
2,album,Seahawks,0pmvwDNcm1CBWIwOYsiBDB,https://i.scdn.co/image/022f8314114cd72841fb899248a0d74ec4264f8e,Eyes of the Moon,2019-03-15,10,album
3,album,"Road to Glory, Bomb Squad Unit, Fandemonium",3w15F6Gp1ysWfEULBfDaef,https://i.scdn.co/image/a188011e42706c029d24a0d7d47e05738e2b064c,Seattle Seahawks 2013 Super Bowl Hits,2014-01-27,20,album
4,album,Seahawks,37KmkcdoHl9LpfA2VmphLw,https://i.scdn.co/image/bc9c235bd0f9e62d43fe287c3eaf48e6b0b00cf7,Escape Hatch (Bonus Track Version),2016-08-26,10,album
5,album,Seahawks,498OdjmmvM8gzkWhGz29BS,https://i.scdn.co/image/5170f9f3bbbbd259e0ebe72c4fd893ae2421197b,Eternal Beams,2018-06-08,9,album
6,album,Seahawks,7FdMCM4sFDZD06qS5mH7Tt,https://i.scdn.co/image/694f2c87ed95ca12710d5b66a3eeac43c75e45c7,Paradise Freaks,2014-05-06,12,album
7,album,Seahawks,2iuJsBpyeJsNN5AxBjD7pV,https://i.scdn.co/image/0782af0f69eb9fb69e07976f6f37b364762e6411,Deep Haul,2015-10-30,12,album
8,album,Seahawks,4DRPnAnF4fSkD721v4Folf,https://i.scdn.co/image/2f571e4aa79a6ba6c0b754ec9deb6ca9e7dcc7bd,Aquadisco,2012-09-17,12,album
9,album,Seahawks,5zm2pwGlKEj4fUzV1UXesZ,https://i.scdn.co/image/ecdeae7551acb715338550ae1fefebb3c113c51d,Invisible Sunrise,2011-11-21,8,album
10,single,Disciple,0w2AKCSoz6thvxjYoo1835,https://i.scdn.co/image/59e3aa0770a7473ba33b0e4e2ea806a8cb9aef1f,Game On (Seahawks Version),2007-07-24,1,album
11,single,Golden Boy (Fospassin),1OEK2M0zgS3hyt7POBuE7i,https://i.scdn.co/image/c7f06486b8a317c8b341a3090dddc494fc8c1f40,Beast Seattle Seahawks,2014-01-21,1,album
12,single,Brobick feat. Crash,4eut9XT2wOeqJYf3nqY1Hy,https://i.scdn.co/image/2b928c316383b63b7b9522a2910e193fafb89a9c,Are U ready Seahawks,2013-04-04,3,album
13,album,The Seattle Sports Band,5YaeGsYowT9mPaQqwhbmUl,https://i.scdn.co/image/f1b6ceeba0650772dc34a9a98c25bbae7c0967df,Mariners & Seahawks,2009-01-01,12,album
14,single,Sunds Seahawks Salg Sang,6WXVAqy5p4VFx60O3dWSoG,https://i.scdn.co/image/34fbc4765a659a58ac1e2c918cb604394d645699,Sunds Seahawks Ørnenes By,2017-03-10,1,album
15,single,K Cartier,6ZBtdqbfX43RDBmo8Khlfb,https://i.scdn.co/image/c9afb9c819a44f63e41048b61c33aaf22a61ff95,Seahawks Time (2014 / 2015),2014-09-11,1,album
16,single,Golden Boy (Fospassin),0HKRBrQDSj0pmmKoIZcg9G,https://i.scdn.co/image/75d5d1c4342123847b75d047a13974fc857d03b0,Seattle Seahawks Legion of Boom,2017-01-10,1,album
17,single,Golden Boy (Fospassin),4YhWLHjb5uLKBG3QLNJXPr,https://i.scdn.co/image/b6a8598c402286ba24bdcbf1aa13f92ed98974f4,Seattle Seahawks and 12th Man,2014-09-05,1,album
18,single,HardNox,68fOwTX8yqFoM9iyUkoPBL,https://i.scdn.co/image/91c029dc7f6b9b8c3d267fa117a1315542e331de,Fist Pump (Seahawks Remix) - Single,2010-09-21,1,album
